# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T, T10N,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  240,20190101,    1,  260,   70,   60,  100,   85,     ,   57,    0,    0,    0,    0,10306,   69,    8,   82,     ,    5,    0,    0,    0,    0,    0
  240,20190101,    2,  260,   70,   70,  100,   86,     ,   51,    0,    0,    0,    0,10301,   75,    8,   78,     ,    5,    0,    0,    0,    0,    0
  240,20190101,    3,  250,   70,   70,  110,   85,     ,   51,    0,    0,    0,    0,10295,   75,    8,   79,     ,    5,    0,    0,    0,    0,    0
  240,20190101,    4,  250,   70,   80,  110,   82,     ,   54,    0,    0,    0,    0,10290,   70,    8,   82,     ,    5,    0,    0,    0,    0,    0
  240,20190101,    5,  260,   90,   90,  120,   87,     ,   58,    0,    0,    0,   -1,10283,   70,    8,   81,   22,    7,    0,    1,    0,    0,    0
  240,20190101,    6,  260,   90,   80,  120,   89,   71,   63,    0,    0,    0,    0,10281,   67,    8,   83,     ,    5,    0,    0,    0,    0,    0
  240,20190101,    7,  270,   80,   80,  120,   83,     ,   73,    0,    0,    0,   -1,10281,   37,    8,   93,   51,    7,    0,    1,    0,    0,    0
  240,20190101,    8,  280,   70,   70,  110,   83,     ,   79,    0,    0,   10,    2,10282,   30,    8,   97,   52,    7,    0,    1,    0,    0,    0
  240,20190101,    9,  290,   70,   60,  100,   88,     ,   82,    0,    2,    8,    1,10283,   44,    8,   95,   52,    7,    0,    1,    0,    0,    0
  240,20190101,   10,  320,   60,   50,   90,   87,     ,   65,    0,   10,    4,    1,10285,   64,    8,   86,   22,    7,    0,    1,    0,    0,    0
  240,20190101,   11,  300,   60,   60,   90,   85,     ,   65,    0,   28,    0,   -1,10285,   64,    8,   86,   23,    7,    0,    1,    0,    0,    0
  240,20190101,   12,  310,   70,   80,  110,   85,   78,   49,    0,   44,    0,    0,10285,   62,    8,   77,    2,    7,    0,    0,    0,    0,    0
  240,20190101,   13,  320,   80,   80,  130,   85,     ,   36,    8,   59,    0,    0,10290,   65,    3,   71,     ,    5,    0,    0,    0,    0,    0
  240,20190101,   14,  320,   80,   90,  140,   84,     ,   37,    3,   29,    0,    0,10295,   68,    8,   72,     ,    5,    0,    0,    0,    0,    0
  240,20190101,   15,  320,   90,   80,  140,   78,     ,   34,    2,   12,    0,   -1,10297,   68,    8,   73,   23,    7,    0,    1,    0,    0,    0
  240,20190101,   16,  320,   80,   80,  120,   68,     ,   35,    0,    2,    0,   -1,10301,   67,    7,   79,   23,    7,    0,    1,    0,    0,    0
  240,20190101,   17,  320,   80,   80,  140,   73,     ,    9,    0,    0,    0,    0,10306,   72,    8,   64,     ,    5,    0,    0,    0,    0,    0
  240,20190101,   18,  330,   80,   60,  170,   63,   50,   22,    0,    0,    0,   -1,10311,   67,    6,   74,   23,    7,    0,    1,    0,    0,    0
  240,20190101,   19,  330,   80,   90,  180,   68,     ,    7,    0,    0,    1,    1,10317,   67,    8,   65,   23,    7,    0,    1,    0,    0,    0
  240,20190101,   20,  340,   90,   70,  180,   62,     ,    9,    0,    0,    0,   -1,10325,   65,    8,   68,   22,    7,    0,    1,    0,    0,    0
  240,20190101,   21,  340,   80,   80,  140,   65,     ,  -17,    0,    0,    0,    0,10327,   72,    8,   55,    2,    7,    0,    0,    0,    0,    0
  240,20190101,   22,  330,   70,   70,  130,   64,     ,    0,    0,    0,    0,   -1,10330,   64,    7,   63,   22,    7,    0,    1,    0,    0,    0
  240,20190101,   23,  340,   70,   80,  140,   64,     ,   -2,    0,    0,    0,   -1,10333,   65,    8,   62,   51,    7,    0,    1,    0,    0,    0
  240,20190101,   24,  330,   70,   70,  120,   57,   41,  -25,    0,    0,    0,   -1,10340,   70,    1,   55,   22,    7,    0,    1,    0,    0,    0
  240,20190102,    1,  340,   60,   60,  120,   58,     ,  -14,    0,    0,    0,    0,10344,   66,    0,   60,     ,    5,    0,    0,    0,    0,    0
  240,20190102,    2,  340,   70,   80,  130,   62,     ,  -12,    0,    0,    0,    0,10351,   65,    6,   58,     ,    5,    0,    0,    0,    0,    0
